time,compressor power,compressor mark,AC PTC power,AC PTC mark,battery PTC power,battery PTC mark,MCU front power,MCU front mark,MCU rear power,MCU rear mark,DCDC power,DCDC mark,fan power,fan mark,water pump power,water pump mark,blower power,blower mark,others power,others mark,battery power,battery mark,mechanical ratio,low voltage ratio,high voltage ratio,MCU rear ratio,battery PTC ratio,AC PTC ratio,MCU front ratio,compressor ratio
0,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.10 ,98.90 ,0,49.45 ,49.45 ,0,0
1,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.10 ,98.90 ,0,49.45 ,49.45 ,0,0
2,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.10 ,98.90 ,0,49.45 ,49.45 ,0,0
3,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.36 ,49.54 ,0,0
4,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.38 ,49.52 ,0,0
5,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.10 ,98.90 ,0,49.39 ,49.51 ,0,0
6,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.10 ,98.90 ,0,49.40 ,49.50 ,0,0
7,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.10 ,98.90 ,0,49.40 ,49.49 ,0,0
8,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.10 ,98.90 ,0,49.41 ,49.49 ,0,0
9,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.38 ,49.52 ,0,0
10,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.35 ,49.55 ,0,0
11,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.33 ,49.57 ,0,0
12,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.31 ,49.58 ,0,0
13,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.29 ,49.60 ,0,0
14,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.28 ,49.61 ,0,0
15,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.27 ,49.63 ,0,0
16,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.26 ,49.64 ,0,0
17,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.27 ,49.63 ,0,0
18,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.26 ,49.64 ,0,0
19,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.27 ,49.63 ,0,0
20,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.29 ,49.60 ,0,0
21,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.32 ,49.58 ,0,0
22,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.34 ,49.56 ,0,0
23,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.34 ,49.55 ,0,0
24,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.33 ,49.56 ,0,0
25,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.32 ,49.57 ,0,0
26,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.31 ,49.58 ,0,0
27,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.30 ,49.59 ,0,0
28,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.30 ,49.59 ,0,0
29,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.29 ,49.60 ,0,0
30,0,0,6.8,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.29 ,49.60 ,0,0
31,0,0,6.9,1,5,1,0,0,0,0,0.154,1,0.06,1,0.094,1,0,0,0,0,5,1,0,1.11 ,98.89 ,0,49.29 ,49.60 ,0,0
