Time_Stamps,AC_CabinTemp,AC_CabinTemp_FC,VEC,VEC_FC,VS
1,26.87,26.8,0.04,0.96,42.51
2,34.36,23.76,0.43,0.87,36.0
3,31.52,28.74,0.06,0.73,78.2
4,29.78,23.46,0.79,0.08,74.54
5,24.03,34.14,0.53,0.05,90.52
6,24.03,24.39,0.03,0.84,39.55
7,22.76,25.29,0.04,0.49,56.42
8,33.26,27.29,0.61,0.81,89.23
9,29.81,26.98,0.81,0.31,99.38
10,31.2,32.33,0.44,0.4,96.93
11,22.27,27.93,0.55,0.7,71.78
12,34.61,24.22,0.8,0.92,14.32
13,32.82,25.47,0.61,0.09,2.32
14,24.76,28.62,0.22,0.86,82.52
15,24.36,23.92,0.61,0.79,84.09
16,24.38,29.95,0.63,0.32,74.64
17,25.96,29.35,0.73,0.36,27.99
18,28.82,31.29,0.62,0.05,63.98
19,27.62,34.19,0.97,0.02,31.62
20,25.79,33.86,0.2,0.48,45.06
21,29.95,34.3,0.95,0.1,38.24
22,23.81,25.18,0.54,0.19,91.36
23,25.8,23.71,0.67,0.85,23.42
24,26.76,25.93,0.1,0.57,57.76
25,27.93,33.64,0.38,0.63,36.1
26,32.21,34.64,0.77,0.19,66.31
27,24.6,33.17,0.71,0.83,56.46
28,28.69,23.43,0.04,0.87,92.4
29,29.7,34.32,0.55,0.52,10.16
30,22.6,27.5,0.09,0.91,22.06
31,29.9,22.12,1.0,0.84,76.63
32,24.22,27.75,0.9,0.73,36.88
33,22.85,22.6,0.02,0.73,16.58
34,34.34,29.07,0.86,0.11,50.33
35,34.55,26.4,0.92,0.27,65.21
36,32.51,28.15,0.35,0.07,4.48
37,25.96,29.97,0.72,0.01,29.16
38,23.27,33.29,0.44,0.16,80.94
39,30.9,30.6,0.66,0.88,52.02
40,27.72,27.64,0.34,0.24,3.54
41,23.59,32.65,0.32,0.97,28.2
42,28.44,33.77,0.42,0.6,63.91
43,22.45,23.56,0.15,0.24,19.94
44,33.82,28.92,0.83,0.5,82.74
45,25.36,25.7,0.35,0.22,67.66
46,30.61,22.61,0.4,0.98,47.14
47,26.05,30.69,0.89,0.85,91.56
48,28.76,33.22,0.5,0.03,39.18
49,29.11,24.12,0.54,0.95,23.51
50,24.4,32.56,0.96,0.72,66.14
51,34.6,33.09,0.89,0.08,57.33
52,32.08,33.89,0.17,0.67,33.52
53,34.21,25.45,0.47,0.65,34.37
54,33.63,33.75,0.97,0.22,39.82
55,29.77,26.17,0.37,0.76,29.11
56,33.98,29.18,0.37,0.09,71.02
57,23.15,22.66,0.2,0.49,65.14
58,24.55,22.57,0.11,0.01,44.08
59,22.59,31.36,0.74,0.97,39.79
60,26.23,27.78,0.77,0.75,36.51
61,27.05,25.33,0.97,0.16,28.35
62,25.53,24.48,0.77,0.34,8.57
63,32.77,30.71,0.24,0.16,26.82
64,26.64,22.01,0.04,0.77,32.12
65,25.65,32.48,0.99,0.06,54.77
66,29.06,23.03,0.34,0.84,77.38
67,23.83,24.49,0.31,0.94,39.57
68,32.43,27.02,0.91,0.68,94.48
69,22.97,28.3,0.59,0.21,82.73
70,34.83,26.61,0.21,0.36,98.48
71,32.04,26.17,0.89,0.48,87.62
72,24.58,34.53,0.99,0.6,61.67
73,22.07,30.34,0.09,0.67,59.85
74,32.6,22.3,0.86,0.55,12.95
75,31.19,27.59,0.39,0.35,72.24
76,31.48,33.38,0.52,0.89,60.02
77,32.03,25.92,0.91,0.08,50.69
78,22.96,23.23,0.97,0.47,69.33
79,26.66,31.86,0.26,0.78,44.4
80,23.51,29.88,0.21,0.06,52.39
81,33.22,29.41,0.08,0.71,39.84
82,30.1,22.7,0.56,0.82,71.74
83,26.3,23.83,0.01,0.66,87.66
84,22.83,30.09,0.41,0.01,84.08
85,26.04,24.7,0.07,0.18,78.6
86,26.23,28.55,0.41,0.34,1.38
87,31.48,29.08,0.04,0.23,91.19
88,30.29,25.69,0.84,0.96,27.49
89,33.53,34.33,0.21,0.65,88.8
90,28.14,32.95,0.33,0.3,19.7
91,23.55,31.39,0.87,0.93,43.96
